,state,category,cat_median,cat_25,cat_75,cat_max,cat_min,state_median,state_25,state_75,state_max,state_min,state_cat_median,state_cat_25,state_cat_75,state_cat_max,state_cat_min
13458,NV,Asian Fusion,3.5555555555555554,3.059831932773109,3.973373983739837,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.83621118545205,3.328406301145663,4.285989010989011,5.0,2.3225806451612905
14526,NV,Burgers,3.0,2.25,3.6111632270168856,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.058219178082192,2.2264150943396226,3.6666666666666665,5.0,1.0
15935,NV,Pizza,3.370967741935484,2.6821789321789318,3.8925070028011204,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.25,2.5,3.7591567291311754,5.0,1.0
15984,NV,Italian,3.585144927536232,3.085714285714286,4.0,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.558916567813365,3.0,3.981363359380601,5.0,1.0
17194,NV,Breakfast & Brunch,3.608695652173913,3.111111111111111,4.0,5.0,1.2222222222222223,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.6838235294117645,3.0679723502304146,4.123914181057038,5.0,1.490909090909091
17305,NV,Barbeque,3.55,3.013157894736842,4.0,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.5724275724275723,3.0,4.068249701314217,5.0,1.3333333333333333
18404,NV,Tex-Mex,3.0,2.430803571428571,3.578518907563025,4.615384615384615,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,2.952991452991453,2.536363636363636,3.4632867132867133,4.285714285714286,1.7096774193548387
18605,NV,Thai,3.6470588235294117,3.142857142857143,4.0,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.814070351758794,3.4655172413793105,4.171806167400881,4.661016949152542,1.75
19094,NV,Sandwiches,3.5,2.8333333333333335,4.0,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.33974358974359,2.715151515151515,3.900675675675676,5.0,1.0833333333333333
19167,NV,Diners,3.467741935483871,2.9867724867724865,3.9462585034013604,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.4651162790697674,2.8133591065292096,4.018070730304773,4.666666666666667,1.5
19868,NV,Seafood,3.5789473684210527,3.104054054054054,4.0,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.7586206896551726,3.3075046904315197,4.085454545454546,4.857142857142857,1.3783783783783783
20003,NV,Cafes,3.824644549763033,3.25,4.275862068965517,5.0,1.3333333333333333,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.776470588235294,3.0,4.115898058252427,5.0,1.9391891891891893
21565,NV,Hot Dogs,3.5555555555555554,2.9473684210526314,4.176470588235294,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.25,2.723529411764706,4.055555555555555,5.0,1.5
24187,NV,Desserts,3.75,3.1666666666666665,4.173913043478261,5.0,1.7647058823529411,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.923555761507569,3.6073854047580163,4.133573008849558,4.641955835962145,2.2
26906,NV,Mediterranean,3.771712158808933,3.272727272727273,4.156826523712933,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.8997772828507795,3.5164835164835164,4.219373219373219,4.857142857142857,2.142857142857143
33506,NV,Chicken Wings,2.857142857142857,2.2,3.531100478468899,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,2.8857142857142857,2.125,3.722972972972973,4.9,1.3157894736842106
33612,AZ,Seafood,3.5789473684210527,3.104054054054054,4.0,5.0,1.0,3.449781659388646,2.8125,3.9444444444444446,5.0,1.0,3.617021276595745,3.132142857142857,4.0209203564466725,4.594936708860759,1.0
34952,AZ,Breakfast & Brunch,3.608695652173913,3.111111111111111,4.0,5.0,1.2222222222222223,3.449781659388646,2.8125,3.9444444444444446,5.0,1.0,3.6984541941350306,3.2205555555555554,4.049456917676667,5.0,1.793103448275862
35520,AZ,Steakhouses,3.4615384615384617,3.0,3.926470588235294,5.0,1.3333333333333333,3.449781659388646,2.8125,3.9444444444444446,5.0,1.0,3.383399209486166,2.92578431372549,3.8637065637065637,4.497907949790795,2.1666666666666665
36026,NV,Salad,3.701063829787234,3.154840848806366,4.0947273197208585,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.8181818181818183,3.214001384562132,4.223393278301886,4.707592891760905,1.5630252100840336
38122,NV,Vegetarian,3.828877005347594,3.46875,4.235294117647059,5.0,1.75,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.7526041666666665,3.645,4.152641878669276,4.714285714285714,2.4166666666666665
39083,NV,Vietnamese,3.625,3.2,4.0,5.0,1.6111111111111112,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.6666666666666665,3.2280640278089257,3.932098765432099,4.890909090909091,1.8888888888888888
54139,NV,Japanese,3.546511627906977,3.1164936096858042,4.0,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.7477477477477477,3.2777777777777777,4.188571428571429,5.0,1.630952380952381
54361,NV,Chinese,3.3333333333333335,2.888888888888889,3.75,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.392857142857143,3.0,3.75,5.0,1.1111111111111112
56187,NV,Indian,3.5609756097560976,3.1105006105006106,4.0177338355304455,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.7584800343495064,3.1753246753246755,4.105517678769621,4.9,1.7419354838709677
70181,NV,Sushi Bars,3.6,3.082482993197279,4.0,5.0,1.3333333333333333,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.8374452062492974,3.48446362263843,4.167124542124542,5.0,2.0833333333333335
