,num_revs,state,category
0,8,QC,Diners
1,2,QC,Diners
2,1,QC,Diners
3,5,QC,Diners
4,5,QC,Diners
5,1,QC,Diners
6,1,QC,Diners
7,5,QC,Diners
8,3,QC,Diners
9,2,QC,Diners
10,1,QC,Diners
11,2,QC,Diners
12,3,QC,Diners
13,5,QC,Diners
14,3,QC,Diners
15,2,QC,Diners
16,4,QC,Diners
17,5,QC,Diners
18,3,QC,Diners
19,3,QC,Diners
20,1,QC,Diners
21,5,QC,Diners
22,2,QC,Diners
23,1,QC,Diners
24,3,QC,Diners
25,1,QC,Diners
26,2,QC,Diners
27,2,QC,Diners
28,1,QC,Diners
29,2,QC,Diners
30,1,QC,Diners
31,3,QC,Diners
32,1,QC,Diners
33,4,QC,Diners
34,4,QC,Diners
35,2,QC,Diners
36,2,QC,Diners
37,4,QC,Diners
38,4,QC,Diners
39,1,QC,Diners
40,2,QC,Diners
41,2,QC,Diners
42,1,QC,Diners
43,2,QC,Diners
44,2,QC,Diners
45,1,QC,Diners
46,1,QC,Diners
47,2,QC,Diners
48,5,QC,Diners
49,2,QC,Diners
50,5,QC,Diners
51,2,QC,Diners
52,2,QC,Diners
53,1,QC,Diners
54,2,QC,Diners
55,1,QC,Diners
56,2,QC,Diners
57,2,QC,Diners
58,2,QC,Diners
59,1,QC,Diners
60,1,QC,Diners
61,2,QC,Diners
62,1,QC,Diners
63,2,QC,Diners
64,3,QC,Diners
65,4,QC,Diners
66,2,QC,Diners
67,3,QC,Diners
68,4,QC,Diners
69,3,QC,Diners
70,1,QC,Diners
71,2,QC,Diners
72,2,QC,Diners
73,1,QC,Diners
74,1,QC,Diners
75,2,QC,Diners
76,1,QC,Diners
77,2,QC,Diners
78,2,QC,Diners
79,2,QC,Diners
80,1,QC,Diners
81,4,QC,Diners
82,4,QC,Diners
83,1,QC,Diners
84,2,QC,Diners
85,4,QC,Diners
86,2,QC,Diners
87,2,QC,Diners
88,1,QC,Diners
89,1,QC,Diners
90,2,QC,Diners
91,1,QC,Diners
92,2,QC,Diners
93,1,QC,Diners
94,2,QC,Diners
95,1,QC,Diners
96,4,QC,Diners
97,2,QC,Diners
98,4,QC,Diners
99,1,QC,Diners
100,1,QC,Diners
101,2,QC,Diners
102,2,QC,Diners
103,1,QC,Diners
104,3,QC,Diners
105,2,QC,Diners
106,1,QC,Diners
107,2,QC,Diners
108,1,QC,Diners
109,1,QC,Diners
110,1,QC,Diners
111,1,QC,Diners
112,1,QC,Diners
113,1,QC,Diners
114,2,QC,Diners
115,2,QC,Diners
116,2,QC,Diners
117,1,QC,Diners
118,2,QC,Diners
119,1,QC,Diners
120,3,QC,Diners
121,3,QC,Diners
122,1,QC,Diners
123,2,QC,Diners
124,1,QC,Diners
125,1,QC,Diners
126,1,QC,Diners
127,1,QC,Diners
128,1,QC,Diners
129,1,QC,Diners
130,2,QC,Diners
131,2,QC,Diners
132,2,QC,Diners
133,1,QC,Diners
134,3,QC,Diners
135,1,QC,Diners
136,1,QC,Diners
137,1,QC,Diners
138,1,QC,Diners
139,1,QC,Diners
140,1,QC,Diners
141,3,QC,Diners
142,1,QC,Diners
143,1,QC,Diners
144,1,QC,Diners
145,1,QC,Diners
146,3,QC,Diners
147,1,QC,Diners
148,1,QC,Diners
149,1,QC,Diners
150,1,QC,Diners
151,2,QC,Diners
152,2,QC,Diners
153,2,QC,Diners
154,1,QC,Diners
155,2,QC,Diners
156,1,QC,Diners
157,1,QC,Diners
158,2,QC,Diners
159,1,QC,Diners
160,1,QC,Diners
161,1,QC,Diners
162,1,QC,Diners
163,1,QC,Diners
164,1,QC,Diners
165,1,QC,Diners
166,1,QC,Diners
167,2,QC,Diners
168,1,QC,Diners
169,1,QC,Diners
170,1,QC,Diners
171,1,QC,Diners
172,1,QC,Diners
173,1,QC,Diners
174,2,QC,Diners
175,1,QC,Diners
176,1,QC,Diners
177,2,QC,Diners
178,1,QC,Diners
179,2,QC,Diners
180,1,QC,Diners
181,2,QC,Diners
182,1,QC,Diners
183,1,QC,Diners
184,1,QC,Diners
185,1,QC,Diners
186,1,QC,Diners
187,2,QC,Diners
188,1,QC,Diners
189,1,QC,Diners
190,1,QC,Diners
191,1,QC,Diners
192,1,QC,Diners
193,1,QC,Diners
194,1,QC,Diners
195,1,QC,Diners
196,1,QC,Diners
197,5,QC,Canadian (New)
198,2,QC,Canadian (New)
199,4,QC,Canadian (New)
200,6,QC,Canadian (New)
201,2,QC,Canadian (New)
202,1,QC,Canadian (New)
203,4,QC,Canadian (New)
204,9,QC,Canadian (New)
205,2,QC,Canadian (New)
206,4,QC,Canadian (New)
207,12,QC,Canadian (New)
208,11,QC,Canadian (New)
209,2,QC,Canadian (New)
210,2,QC,Canadian (New)
211,6,QC,Canadian (New)
212,6,QC,Canadian (New)
213,4,QC,Canadian (New)
214,5,QC,Canadian (New)
215,2,QC,Canadian (New)
216,8,QC,Canadian (New)
217,7,QC,Canadian (New)
218,2,QC,Canadian (New)
219,2,QC,Canadian (New)
220,8,QC,Canadian (New)
221,6,QC,Canadian (New)
222,5,QC,Canadian (New)
223,6,QC,Canadian (New)
224,2,QC,Canadian (New)
225,2,QC,Canadian (New)
226,8,QC,Canadian (New)
227,7,QC,Canadian (New)
228,4,QC,Canadian (New)
229,2,QC,Canadian (New)
230,5,QC,Canadian (New)
231,5,QC,Canadian (New)
232,3,QC,Canadian (New)
233,1,QC,Canadian (New)
234,5,QC,Canadian (New)
235,6,QC,Canadian (New)
236,4,QC,Canadian (New)
237,4,QC,Canadian (New)
238,2,QC,Canadian (New)
239,4,QC,Canadian (New)
240,5,QC,Canadian (New)
241,6,QC,Canadian (New)
242,2,QC,Canadian (New)
243,9,QC,Canadian (New)
244,4,QC,Canadian (New)
245,1,QC,Canadian (New)
246,3,QC,Canadian (New)
247,4,QC,Canadian (New)
248,4,QC,Canadian (New)
249,4,QC,Canadian (New)
250,6,QC,Canadian (New)
251,1,QC,Canadian (New)
252,2,QC,Canadian (New)
253,1,QC,Canadian (New)
254,1,QC,Canadian (New)
255,9,QC,Canadian (New)
256,5,QC,Canadian (New)
257,4,QC,Canadian (New)
258,5,QC,Canadian (New)
259,4,QC,Canadian (New)
260,2,QC,Canadian (New)
261,9,QC,Canadian (New)
262,1,QC,Canadian (New)
263,1,QC,Canadian (New)
264,5,QC,Canadian (New)
265,4,QC,Canadian (New)
266,4,QC,Canadian (New)
267,3,QC,Canadian (New)
268,1,QC,Canadian (New)
269,2,QC,Canadian (New)
270,6,QC,Canadian (New)
271,2,QC,Canadian (New)
272,3,QC,Canadian (New)
273,1,QC,Canadian (New)
274,5,QC,Canadian (New)
275,6,QC,Canadian (New)
276,3,QC,Canadian (New)
277,4,QC,Canadian (New)
278,6,QC,Canadian (New)
279,3,QC,Canadian (New)
280,5,QC,Canadian (New)
281,3,QC,Canadian (New)
282,1,QC,Canadian (New)
283,1,QC,Canadian (New)
284,2,QC,Canadian (New)
285,5,QC,Canadian (New)
286,2,QC,Canadian (New)
287,3,QC,Canadian (New)
288,2,QC,Canadian (New)
289,1,QC,Canadian (New)
290,2,QC,Canadian (New)
291,5,QC,Canadian (New)
292,4,QC,Canadian (New)
293,8,QC,Canadian (New)
294,2,QC,Canadian (New)
295,3,QC,Canadian (New)
296,4,QC,Canadian (New)
297,1,QC,Canadian (New)
298,7,QC,Canadian (New)
299,4,QC,Canadian (New)
300,2,QC,Canadian (New)
301,4,QC,Canadian (New)
302,4,QC,Canadian (New)
303,5,QC,Canadian (New)
304,3,QC,Canadian (New)
305,4,QC,Canadian (New)
306,2,QC,Canadian (New)
307,2,QC,Canadian (New)
308,1,QC,Canadian (New)
309,2,QC,Canadian (New)
310,2,QC,Canadian (New)
311,5,QC,Canadian (New)
312,3,QC,Canadian (New)
313,3,QC,Canadian (New)
314,4,QC,Canadian (New)
315,2,QC,Canadian (New)
316,1,QC,Canadian (New)
317,1,QC,Canadian (New)
318,2,QC,Canadian (New)
319,1,QC,Canadian (New)
320,3,QC,Canadian (New)
321,2,QC,Canadian (New)
322,2,QC,Canadian (New)
323,3,QC,Canadian (New)
324,2,QC,Canadian (New)
325,2,QC,Canadian (New)
326,2,QC,Canadian (New)
327,4,QC,Canadian (New)
328,2,QC,Canadian (New)
329,3,QC,Canadian (New)
330,2,QC,Canadian (New)
331,5,QC,Canadian (New)
332,3,QC,Canadian (New)
333,1,QC,Canadian (New)
334,2,QC,Canadian (New)
335,3,QC,Canadian (New)
336,1,QC,Canadian (New)
337,5,QC,Canadian (New)
338,1,QC,Canadian (New)
339,1,QC,Canadian (New)
340,5,QC,Canadian (New)
341,5,QC,Canadian (New)
342,6,QC,Canadian (New)
343,4,QC,Canadian (New)
344,7,QC,Canadian (New)
345,3,QC,Canadian (New)
346,1,QC,Canadian (New)
347,1,QC,Canadian (New)
348,2,QC,Canadian (New)
349,2,QC,Canadian (New)
350,9,QC,Canadian (New)
351,1,QC,Canadian (New)
352,5,QC,Canadian (New)
353,3,QC,Canadian (New)
354,8,QC,Canadian (New)
355,5,QC,Canadian (New)
356,2,QC,Canadian (New)
357,1,QC,Canadian (New)
358,3,QC,Canadian (New)
359,1,QC,Canadian (New)
360,4,QC,Canadian (New)
361,2,QC,Canadian (New)
362,1,QC,Canadian (New)
363,3,QC,Canadian (New)
364,1,QC,Canadian (New)
365,2,QC,Canadian (New)
366,1,QC,Canadian (New)
367,2,QC,Canadian (New)
368,3,QC,Canadian (New)
369,1,QC,Canadian (New)
370,2,QC,Canadian (New)
371,2,QC,Canadian (New)
372,1,QC,Canadian (New)
373,2,QC,Canadian (New)
374,3,QC,Canadian (New)
375,1,QC,Canadian (New)
376,1,QC,Canadian (New)
377,1,QC,Canadian (New)
378,1,QC,Canadian (New)
379,3,QC,Canadian (New)
380,1,QC,Canadian (New)
381,6,QC,Canadian (New)
382,2,QC,Canadian (New)
383,2,QC,Canadian (New)
384,2,QC,Canadian (New)
385,2,QC,Canadian (New)
386,5,QC,Canadian (New)
387,1,QC,Canadian (New)
388,3,QC,Canadian (New)
389,2,QC,Canadian (New)
390,2,QC,Canadian (New)
391,3,QC,Canadian (New)
392,3,QC,Canadian (New)
393,4,QC,Canadian (New)
394,4,QC,Canadian (New)
395,1,QC,Canadian (New)
396,3,QC,Canadian (New)
397,1,QC,Canadian (New)
398,2,QC,Canadian (New)
399,2,QC,Canadian (New)
400,1,QC,Canadian (New)
401,1,QC,Canadian (New)
402,2,QC,Canadian (New)
403,1,QC,Canadian (New)
404,1,QC,Canadian (New)
405,1,QC,Canadian (New)
406,2,QC,Canadian (New)
407,2,QC,Canadian (New)
408,1,QC,Canadian (New)
409,3,QC,Canadian (New)
410,1,QC,Canadian (New)
411,3,QC,Canadian (New)
412,1,QC,Canadian (New)
413,4,QC,Canadian (New)
414,4,QC,Canadian (New)
415,5,QC,Canadian (New)
416,2,QC,Canadian (New)
417,2,QC,Canadian (New)
418,1,QC,Canadian (New)
419,4,QC,Canadian (New)
420,2,QC,Canadian (New)
421,1,QC,Canadian (New)
422,1,QC,Canadian (New)
423,5,QC,Canadian (New)
424,1,QC,Canadian (New)
425,1,QC,Canadian (New)
426,1,QC,Canadian (New)
427,2,QC,Canadian (New)
428,1,QC,Canadian (New)
429,1,QC,Canadian (New)
430,1,QC,Canadian (New)
431,2,QC,Canadian (New)
432,4,QC,Canadian (New)
433,2,QC,Canadian (New)
434,1,QC,Canadian (New)
435,1,QC,Canadian (New)
436,1,QC,Canadian (New)
437,1,QC,Canadian (New)
438,1,QC,Canadian (New)
439,1,QC,Canadian (New)
440,1,QC,Canadian (New)
441,2,QC,Canadian (New)
442,1,QC,Canadian (New)
443,2,QC,Canadian (New)
444,1,QC,Canadian (New)
445,1,QC,Canadian (New)
446,1,QC,Canadian (New)
447,1,QC,Canadian (New)
448,1,QC,Canadian (New)
449,1,QC,Canadian (New)
450,2,QC,Canadian (New)
451,1,QC,Canadian (New)
452,1,QC,Canadian (New)
453,1,QC,Canadian (New)
454,1,QC,Canadian (New)
455,1,QC,Canadian (New)
456,1,QC,Canadian (New)
457,1,QC,Canadian (New)
458,1,QC,Canadian (New)
459,2,QC,Canadian (New)
460,1,QC,Canadian (New)
461,2,QC,Canadian (New)
462,2,QC,Canadian (New)
463,1,QC,Canadian (New)
464,1,QC,Canadian (New)
465,1,QC,Canadian (New)
466,2,QC,Canadian (New)
467,1,QC,Canadian (New)
468,1,QC,Canadian (New)
