,num_revs,state,category
0,2,QC,Diners
1,2,QC,Diners
2,1,QC,Diners
3,2,QC,Diners
4,3,QC,Diners
5,4,QC,Diners
6,1,QC,Diners
7,2,QC,Diners
8,2,QC,Diners
9,2,QC,Diners
10,1,QC,Diners
11,2,QC,Diners
12,5,QC,Diners
13,1,QC,Diners
14,2,QC,Diners
15,3,QC,Diners
16,4,QC,Diners
17,3,QC,Diners
18,1,QC,Diners
19,1,QC,Diners
20,1,QC,Diners
21,2,QC,Diners
22,2,QC,Diners
23,3,QC,Diners
24,2,QC,Diners
25,4,QC,Diners
26,3,QC,Diners
27,3,QC,Diners
28,1,QC,Diners
29,1,QC,Diners
30,2,QC,Diners
31,2,QC,Diners
32,2,QC,Diners
33,3,QC,Diners
34,2,QC,Diners
35,1,QC,Diners
36,1,QC,Diners
37,1,QC,Diners
38,3,QC,Diners
39,1,QC,Diners
40,2,QC,Diners
41,1,QC,Diners
42,2,QC,Diners
43,1,QC,Diners
44,4,QC,Diners
45,1,QC,Diners
46,1,QC,Diners
47,1,QC,Diners
48,3,QC,Diners
49,2,QC,Diners
50,2,QC,Diners
51,1,QC,Diners
52,2,QC,Diners
53,5,QC,Diners
54,2,QC,Diners
55,1,QC,Diners
56,3,QC,Diners
57,1,QC,Diners
58,3,QC,Diners
59,2,QC,Diners
60,3,QC,Diners
61,1,QC,Diners
62,2,QC,Diners
63,1,QC,Diners
64,1,QC,Diners
65,1,QC,Diners
66,1,QC,Diners
67,3,QC,Diners
68,1,QC,Diners
69,2,QC,Diners
70,1,QC,Diners
71,1,QC,Diners
72,2,QC,Diners
73,1,QC,Diners
74,1,QC,Diners
75,1,QC,Diners
76,2,QC,Diners
77,1,QC,Diners
78,1,QC,Diners
79,1,QC,Diners
80,1,QC,Diners
81,2,QC,Diners
82,4,QC,Diners
83,1,QC,Diners
84,1,QC,Diners
85,2,QC,Diners
86,1,QC,Diners
87,3,QC,Diners
88,2,QC,Diners
89,5,QC,Diners
90,1,QC,Diners
91,1,QC,Diners
92,1,QC,Diners
93,1,QC,Diners
94,2,QC,Diners
95,2,QC,Diners
96,1,QC,Diners
97,2,QC,Diners
98,2,QC,Diners
99,1,QC,Diners
100,1,QC,Diners
101,1,QC,Diners
102,1,QC,Diners
103,2,QC,Diners
104,2,QC,Diners
105,3,QC,Diners
106,1,QC,Diners
107,1,QC,Diners
108,1,QC,Diners
109,2,QC,Diners
110,2,QC,Diners
111,1,QC,Diners
112,2,QC,Diners
113,1,QC,Diners
114,2,QC,Diners
115,2,QC,Diners
116,2,QC,Diners
117,1,QC,Diners
118,1,QC,Diners
119,2,QC,Diners
120,3,QC,Diners
121,2,QC,Diners
122,1,QC,Diners
123,1,QC,Diners
124,1,QC,Diners
125,1,QC,Diners
126,1,QC,Diners
127,4,QC,Diners
128,2,QC,Diners
129,1,QC,Diners
130,1,QC,Diners
131,1,QC,Diners
132,1,QC,Diners
133,1,QC,Diners
134,3,QC,Diners
135,1,QC,Diners
136,1,QC,Diners
137,1,QC,Diners
138,2,QC,Diners
139,2,QC,Diners
140,2,QC,Diners
141,2,QC,Diners
142,2,QC,Diners
143,1,QC,Diners
144,2,QC,Diners
145,1,QC,Diners
146,2,QC,Diners
147,1,QC,Diners
148,1,QC,Diners
149,2,QC,Diners
150,1,QC,Diners
151,2,QC,Diners
152,1,QC,Diners
153,2,QC,Diners
154,1,QC,Diners
155,1,QC,Diners
156,1,QC,Diners
157,1,QC,Diners
158,1,QC,Diners
159,1,QC,Diners
160,1,QC,Diners
161,1,QC,Diners
162,1,QC,Diners
163,1,QC,Diners
164,1,QC,Diners
165,1,QC,Diners
166,1,QC,Diners
167,1,QC,Diners
168,1,QC,Diners
169,1,QC,Diners
170,1,QC,Diners
171,1,QC,Diners
172,2,QC,Diners
173,2,QC,Diners
174,1,QC,Diners
175,1,QC,Diners
176,1,QC,Diners
177,2,QC,Diners
178,1,QC,Diners
179,1,QC,Diners
180,1,QC,Diners
181,1,QC,Diners
182,2,QC,Canadian (New)
183,3,QC,Canadian (New)
184,2,QC,Canadian (New)
185,2,QC,Canadian (New)
186,3,QC,Canadian (New)
187,1,QC,Canadian (New)
188,6,QC,Canadian (New)
189,3,QC,Canadian (New)
190,3,QC,Canadian (New)
191,2,QC,Canadian (New)
192,5,QC,Canadian (New)
193,4,QC,Canadian (New)
194,1,QC,Canadian (New)
195,5,QC,Canadian (New)
196,2,QC,Canadian (New)
197,3,QC,Canadian (New)
198,7,QC,Canadian (New)
199,5,QC,Canadian (New)
200,7,QC,Canadian (New)
201,6,QC,Canadian (New)
202,6,QC,Canadian (New)
203,6,QC,Canadian (New)
204,3,QC,Canadian (New)
205,4,QC,Canadian (New)
206,12,QC,Canadian (New)
207,4,QC,Canadian (New)
208,2,QC,Canadian (New)
209,4,QC,Canadian (New)
210,3,QC,Canadian (New)
211,2,QC,Canadian (New)
212,3,QC,Canadian (New)
213,1,QC,Canadian (New)
214,6,QC,Canadian (New)
215,3,QC,Canadian (New)
216,3,QC,Canadian (New)
217,3,QC,Canadian (New)
218,4,QC,Canadian (New)
219,5,QC,Canadian (New)
220,3,QC,Canadian (New)
221,2,QC,Canadian (New)
222,4,QC,Canadian (New)
223,7,QC,Canadian (New)
224,4,QC,Canadian (New)
225,1,QC,Canadian (New)
226,2,QC,Canadian (New)
227,6,QC,Canadian (New)
228,2,QC,Canadian (New)
229,3,QC,Canadian (New)
230,3,QC,Canadian (New)
231,2,QC,Canadian (New)
232,2,QC,Canadian (New)
233,6,QC,Canadian (New)
234,8,QC,Canadian (New)
235,3,QC,Canadian (New)
236,4,QC,Canadian (New)
237,3,QC,Canadian (New)
238,4,QC,Canadian (New)
239,1,QC,Canadian (New)
240,4,QC,Canadian (New)
241,4,QC,Canadian (New)
242,6,QC,Canadian (New)
