,num_revs,state,category
0,3,QC,Diners
1,6,QC,Diners
2,1,QC,Diners
3,2,QC,Diners
4,5,QC,Diners
5,1,QC,Diners
6,2,QC,Diners
7,2,QC,Diners
8,2,QC,Diners
9,1,QC,Diners
10,2,QC,Diners
11,2,QC,Diners
12,1,QC,Diners
13,3,QC,Diners
14,4,QC,Diners
15,2,QC,Diners
16,2,QC,Diners
17,2,QC,Diners
18,4,QC,Diners
19,1,QC,Diners
20,3,QC,Diners
21,1,QC,Diners
22,3,QC,Diners
23,3,QC,Diners
24,1,QC,Diners
25,3,QC,Diners
26,3,QC,Diners
27,4,QC,Diners
28,2,QC,Diners
29,4,QC,Diners
30,4,QC,Diners
31,3,QC,Diners
32,5,QC,Diners
33,2,QC,Diners
34,4,QC,Diners
35,1,QC,Diners
36,3,QC,Diners
37,1,QC,Diners
38,4,QC,Diners
39,3,QC,Diners
40,1,QC,Diners
41,3,QC,Diners
42,2,QC,Diners
43,2,QC,Diners
44,4,QC,Diners
45,2,QC,Diners
46,4,QC,Diners
47,2,QC,Diners
48,7,QC,Diners
49,1,QC,Diners
50,2,QC,Diners
51,2,QC,Diners
52,2,QC,Diners
53,1,QC,Diners
54,3,QC,Diners
55,2,QC,Diners
56,2,QC,Diners
57,4,QC,Diners
58,3,QC,Diners
59,2,QC,Diners
60,3,QC,Diners
61,2,QC,Diners
62,1,QC,Diners
63,1,QC,Diners
64,1,QC,Diners
65,3,QC,Diners
66,3,QC,Diners
67,2,QC,Diners
68,1,QC,Diners
69,3,QC,Diners
70,3,QC,Diners
71,1,QC,Diners
72,1,QC,Diners
73,3,QC,Diners
74,1,QC,Diners
75,2,QC,Diners
76,1,QC,Diners
77,4,QC,Diners
78,3,QC,Diners
79,3,QC,Diners
80,2,QC,Diners
81,1,QC,Diners
82,3,QC,Diners
83,3,QC,Diners
84,2,QC,Diners
85,4,QC,Diners
86,2,QC,Diners
87,2,QC,Diners
88,1,QC,Diners
89,2,QC,Diners
90,1,QC,Diners
91,1,QC,Diners
92,2,QC,Diners
93,1,QC,Diners
94,1,QC,Diners
95,4,QC,Diners
96,1,QC,Diners
97,3,QC,Diners
98,2,QC,Diners
99,1,QC,Diners
100,1,QC,Diners
101,1,QC,Diners
102,3,QC,Diners
103,2,QC,Diners
104,2,QC,Diners
105,3,QC,Diners
106,3,QC,Diners
107,3,QC,Diners
108,1,QC,Diners
109,4,QC,Diners
110,1,QC,Diners
111,1,QC,Diners
112,2,QC,Diners
113,2,QC,Diners
114,1,QC,Diners
115,3,QC,Diners
116,2,QC,Diners
117,2,QC,Diners
118,1,QC,Diners
119,2,QC,Diners
120,1,QC,Diners
121,1,QC,Diners
122,1,QC,Diners
123,1,QC,Diners
124,2,QC,Diners
125,1,QC,Diners
126,2,QC,Diners
127,1,QC,Diners
128,1,QC,Diners
129,2,QC,Diners
130,3,QC,Diners
131,1,QC,Diners
132,2,QC,Diners
133,1,QC,Diners
134,1,QC,Diners
135,1,QC,Diners
136,1,QC,Diners
137,1,QC,Diners
138,4,QC,Diners
139,1,QC,Diners
140,2,QC,Diners
141,1,QC,Diners
142,1,QC,Diners
143,1,QC,Diners
144,1,QC,Diners
145,1,QC,Diners
146,2,QC,Diners
147,2,QC,Diners
148,1,QC,Diners
149,1,QC,Diners
150,1,QC,Diners
151,2,QC,Diners
152,2,QC,Diners
153,2,QC,Diners
154,4,QC,Diners
155,2,QC,Diners
156,1,QC,Diners
157,1,QC,Diners
158,1,QC,Diners
159,1,QC,Diners
160,2,QC,Diners
161,1,QC,Diners
162,1,QC,Diners
163,3,QC,Diners
164,2,QC,Diners
