,num_revs,state,category
0,3,QC,Diners
1,2,QC,Diners
2,1,QC,Diners
3,2,QC,Diners
4,3,QC,Diners
5,3,QC,Diners
6,1,QC,Diners
7,2,QC,Diners
8,2,QC,Diners
9,2,QC,Diners
10,2,QC,Diners
11,1,QC,Diners
12,1,QC,Diners
13,1,QC,Diners
14,1,QC,Diners
15,1,QC,Diners
16,2,QC,Diners
17,3,QC,Diners
18,5,QC,Diners
19,1,QC,Diners
20,2,QC,Diners
21,3,QC,Diners
22,2,QC,Diners
23,3,QC,Diners
24,2,QC,Diners
25,6,QC,Diners
26,2,QC,Diners
27,3,QC,Diners
28,2,QC,Diners
29,1,QC,Diners
30,2,QC,Diners
31,1,QC,Diners
32,2,QC,Diners
33,2,QC,Diners
34,1,QC,Diners
35,2,QC,Diners
36,1,QC,Diners
37,1,QC,Diners
38,2,QC,Diners
39,1,QC,Diners
40,3,QC,Diners
41,1,QC,Diners
42,2,QC,Diners
43,1,QC,Diners
44,1,QC,Diners
45,1,QC,Diners
46,1,QC,Diners
47,2,QC,Diners
48,2,QC,Diners
49,1,QC,Diners
50,2,QC,Diners
51,2,QC,Diners
52,1,QC,Diners
53,3,QC,Diners
54,1,QC,Diners
55,4,QC,Diners
56,1,QC,Diners
57,5,QC,Diners
58,2,QC,Diners
59,2,QC,Diners
60,2,QC,Diners
61,1,QC,Diners
62,1,QC,Diners
63,3,QC,Diners
64,4,QC,Diners
65,1,QC,Diners
66,2,QC,Diners
67,2,QC,Diners
68,3,QC,Diners
69,3,QC,Diners
70,1,QC,Diners
71,2,QC,Diners
72,2,QC,Diners
73,5,QC,Diners
74,2,QC,Diners
75,1,QC,Diners
76,2,QC,Diners
77,2,QC,Diners
78,3,QC,Diners
79,1,QC,Diners
80,3,QC,Diners
81,1,QC,Diners
82,2,QC,Diners
83,3,QC,Diners
84,2,QC,Diners
85,3,QC,Diners
86,4,QC,Diners
87,1,QC,Diners
88,2,QC,Diners
89,2,QC,Diners
90,1,QC,Diners
91,1,QC,Diners
92,2,QC,Diners
93,2,QC,Diners
94,1,QC,Diners
95,3,QC,Diners
96,3,QC,Diners
97,1,QC,Diners
98,3,QC,Diners
99,1,QC,Diners
100,1,QC,Diners
101,1,QC,Diners
102,5,QC,Diners
103,2,QC,Diners
104,1,QC,Diners
105,1,QC,Diners
106,1,QC,Diners
107,4,QC,Diners
108,1,QC,Diners
109,2,QC,Diners
